graph_name	topic	topic_type	depth	size	centrality_degree	similarity_threshold	num_events	num_events_who	num_events_where	num_events_why	num_events_how	num_events_related	event_completeness	num_complete_events	num_no_opt_events	avg_what_word_count	num_event_chains	longest_event_chain	smallest_event_chain	avg_event_chain_length	num_unique_events	event_min_occur	event_max_occur	avg_occur	avg_num_chars	avg_num_locs	avg_num_rel	num_unique_chars	main_char_pres	side_char_pres	main_char_rel	avg_char_pers	num_unique_locs	avg_loc_pers	narr_duration	time_sd	num_event_ent	num_event_prop	extr_duration	score
Wikidata	Kim Jong-un	Person	1	10	500	0.5	9	6	8	0	0	6	0.57	0	0	4.33	4	4	1	2.25	9	1	1	1.00	1.44	0.16	0.16	5	0.67	0.67	3	1.20	10	1.00	1873	16715.75	9	0	1.147	3
Wikidata	Pablo Picasso	Person	1	10	500	0.5	335	325	331	0	0	7	0.43	0	0	5.39	11	309	1	30.45	315	8	1	1.06	5.53	0.02	0.02	748	0.93	0.04	305	2.35	34	1.38		67236.00	625	0	11.017	4
Wikidata	Wolfgang Amadeus Mozart	Person	1	10	500	0.5	6	0	5	0	0	2	0.33	0	0	3.83	5	2	1	1.20	6	1	1	1.00	0.00	0.00	0.00	0			0	0.00	5	1.25		NaN	625	0	11.017	2
Wikidata	Abraham Lincoln	Person	1	10	500	0.5	31	8	26	0	0	21	0.51	0	1	4.55	14	10	1	2.21	31	1	1	1.00	2.26	0.07	0.07	27	0.13	0.26	1	2.26	15	2.15		272693.51	625	0	11.017	4
Wikidata	Barack Obama	Person	1	10	500	0.5	253	29	167	0	0	146	0.46	0	76	6.09	120	74	1	2.11	253	1	1	1.00	1.31	0.01	0.01	207	0.08	0.10	20	1.08	44	1.40	3301	2132.32	625	0	11.017	5
Wikidata	Isaac Newton	Person	1	10	500	0.5	3	1	1	0	0	1	0.29	0	0	2.33	3	1	1	1.00	3	1	1	1.00	0.67	0.22	0.22	2	0.33	0.33	0	1.00	1	0		NaN	3	0	1.184	4
Wikidata	Isaac Newton	Person	2	10	500	0.5	4	1	2	0	0	1	0.32	0	0	2.50	4	1	1	1.00	4	1	1	1.00	0.50	0.13	0.13	2	0.25	0.25	0	1.00	2	1.00		NaN	4	0	6.296	4
Wikidata	Kim Jong-un	Person	2	10	500	0.5	20	8	16	0	0	14	0.49	0	0	4.25	13	4	1	1.54	20	1	1	1.00	2.30	0.11	0.11	12	0.30	0.40	5	1.75	14	1.92	0	17012.50	20	0	3.1	3
Wikidata	Pablo Picasso	Person	2	10	500	0.5	397	349	376	0	0	32	0.42	0	0	4.97	61	308	1	6.51	377	8	1	1.05	7.99	0.02	0.02	1184	0.78	0.10	314	2.28	93	1.40	0	208115.97	397	0	23.614	3
Wikidata	Wolfgang Amadeus Mozart	Person	2	10	500	0.5	22	3	15	0	0	8	0.36	0	0	3.50	14	6	1	1.57	22	1	1	1.00	1.64	0.07	0.07	36	0.05	0.14	0	1.00	10	1.14	0	5064.52	22	0	26.541	2
Wikidata	Abraham Lincoln	Person	2	10	500	0.5	704	53	666	0	0	676	0.54	0	2	4.15	234	42	1	3.01	702	2	1	1.00	0.54	0.00	0.00	194	0.04	0.06	6	1.38	412	1.11	0	37717.59	704	0	6.241	4
Wikidata	Mount Everest	Place	2	20	500	0.5	29	20	15	0	0	14	0.52	0	3	5.07	17	8	1	1.71	29	1	1	1.00	23.34	0.80	0.80	134	0.21	0.69	4	2.66	11	2.11	0	30605.23	29	0	2.312	4
