graph_name	topic	topic_type	depth	size	centrality_degree	similarity_threshold	num_events	num_events_who	num_events_where	num_events_why	num_events_how	num_events_related	event_completeness	num_complete_events	num_no_opt_events	avg_what_word_count	num_event_chains	longest_event_chain	smallest_event_chain	avg_event_chain_length	num_unique_events	event_min_occur	event_max_occur	avg_occur	avg_num_chars	avg_num_locs	avg_num_rel	num_unique_chars	main_char_pres	side_char_pres	main_char_rel	avg_char_pers	num_unique_locs	avg_loc_pers	narr_duration	time_sd	num_event_ent	num_event_prop	extr_duration	score
Wikidata	Kim Jong-un	Person	1	10	500	0.5	16	16	2	0	0	0	0.45	0	0	7.56	1	16	16	16.00	11	5	1	1.45	1.25	0.08	0.08	2	1.00	0.25	12	4.00	1	0	15071	55001.03	0	18	5.259	3
Wikidata	Pablo Picasso	Person	1	10	500	0.5	28	28	12	2	0	3	0.52	0	0	4.39	1	28	28	28.00	26	3	1	1.08	1.46	0.05	0.05	8	1.00	0.46	26	1.63	11	1.22		75285.03	0	182	290.354	4
Wikidata	Wolfgang Amadeus Mozart	Person	1	10	500	0.5	15	15	2	0	0	1	0.46	0	0	5.20	1	15	15	15.00	13	3	1	1.15	1.20	0.08	0.08	3	1.00	0.20	13	3.00	5	1.00	97541	345647.08	0	182	290.354	2
Wikidata	Abraham Lincoln	Person	1	10	500	0.5	26	26	6	6	0	5	0.52	0	0	6.38	1	26	26	26.00	26	1	1	1.00	1.96	0.08	0.08	13	1.00	0.65	22	1.38	9	1.00	78235	170873.32	0	182	290.354	4
Wikidata	Barack Obama	Person	1	10	500	0.5	104	104	30	2	0	24	0.51	0	0	5.56	1	104	104	104.00	95	5	1	1.09	1.46	0.01	0.01	21	1.00	0.35	95	1.67	20	1.00	22585	10594.25	0	182	290.354	5
Wikidata	Isaac Newton	Person	1	10	500	0.5	33	33	16	0	0	4	0.52	0	0	6.70	1	33	33	33.00	29	2	1	1.14	1.27	0.04	0.04	6	1.00	0.15	31	2.50	11	1.13	139095	316787.70	0	38	69.238	4
Wikidata	Isaac Newton	Person	2	10	500	0.5	33	33	14	0	0	4	0.51	0	0	6.73	1	33	33	33.00	29	2	1	1.14	1.30	0.04	0.04	7	1.00	0.18	31	2.29	9	1.17	139095	316787.70	0	38	199.624	4
Wikidata	Kim Jong-un	Person	2	10	500	0.5	19	19	4	0	0	3	0.48	0	0	7.53	1	19	19	19.00	14	5	1	1.36	1.42	0.07	0.07	5	1.00	0.37	16	2.00	4	1.00	15071	50779.64	3	18	106.844	3
Wikidata	Pablo Picasso	Person	2	10	500	0.5	29	29	13	2	0	4	0.52	0	0	4.86	1	29	29	29.00	27	3	1	1.07	1.69	0.06	0.06	12	1.00	0.48	27	1.33	13	1.20		67082.89	1	30	295.116	3
Wikidata	Wolfgang Amadeus Mozart	Person	2	10	500	0.5	17	17	3	0	0	3	0.48	0	0	5.35	1	17	17	17.00	15	3	1	1.13	1.47	0.09	0.09	6	1.00	0.24	17	2.33	6	1.00	107063	326307.52	2	19	158.122	2
Wikidata	Abraham Lincoln	Person	2	10	500	0.5	37	37	17	6	0	16	0.58	0	0	8.27	1	37	37	37.00	37	1	1	1.00	3.73	0.10	0.10	41	1.00	0.76	53	1.22	19	1.06	78235	146473.77	11	28	250.222	4
Wikidata	Mount Everest	Place	2	20	500	0.5	53	31	53	0	0	24	0.58	0	0	8.40	1	53	53	53.00	40	14	1	1.32	8.51	0.16	0.16	100	0.25	0.58	16	1.06	22	1.64	57646	72815.69	36	34	224.631	4
