graph_name	topic	topic_type	depth	size	centrality_degree	similarity_threshold	subject	predicate	object	statement	qualifier	is_subj_person	is_subj_location	is_subj_event	is_subj_reason	is_subj_manner	is_obj_person	is_obj_location	is_obj_event	is_obj_reason	is_obj_manner	subj_mentions	pred_mentions	obj_mentions	sp_mentions	so_mentions	po_mentions	spo_mentions	event	distance	subj_centr_degree	obj_centr_degree	subj_wiki_occurs	obj_wiki_occurs	used	relevant
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P27	http://www.wikidata.org/entity/Q423	http://www.wikidata.org/entity/statement/q56226-FAC211D4-A7D3-4FA2-9F2B-9D285E410C51	http://www.wikidata.org/prop/statement/P27	1	0	0	0	0	0	1	0	0	0	124	1	3	1	3	1	1	0	0	0	10000	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P166	2018-01-01T00:00:00Z	http://www.wikidata.org/entity/statement/Q56226-402c415d-411d-5701-cf0a-d488ad3cdeeb	http://www.wikidata.org/prop/qualifier/P585	1	0	0	0	0	0	0	0	0	0	124	12	1	12	1	1	1	1	0	0	0	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P39	2012-04-13T00:00:00Z	http://www.wikidata.org/entity/statement/q56226-47D9940D-B981-4961-A570-8DF081EDE031	http://www.wikidata.org/prop/qualifier/P580	1	0	0	0	0	0	0	0	0	0	124	13	1	13	1	1	1	1	0	0	0	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P39	2012-04-11T00:00:00Z	http://www.wikidata.org/entity/statement/q56226-4A20B9FD-1DCF-471A-8468-61C10077C93B	http://www.wikidata.org/prop/qualifier/P580	1	0	0	0	0	0	0	0	0	0	124	13	1	13	1	1	1	1	0	0	0	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P18	2019-01-01T00:00:00Z	http://www.wikidata.org/entity/statement/Q56226-6dfc373a-4f64-31fd-a8e6-15ee04fcaf58	http://www.wikidata.org/prop/qualifier/P585	1	0	0	0	0	0	0	0	0	0	124	1	1	1	1	1	1	1	0	0	0	0	0	1	0
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P166	2020-05-05T00:00:00Z	http://www.wikidata.org/entity/statement/Q56226-a1f4a890-409d-0125-b3a0-e4c553060e55	http://www.wikidata.org/prop/qualifier/P585	1	0	0	0	0	0	0	0	0	0	124	12	1	12	1	1	1	1	0	0	0	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P569	1984-01-08T00:00:00Z	http://www.wikidata.org/entity/statement/q56226-a252b942-48ca-f089-30ea-ed7355153c06	http://www.wikidata.org/prop/statement/P569	1	0	0	0	0	0	0	0	0	0	124	2	1	2	1	1	1	1	0	0	0	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P39	2011-12-17T00:00:00Z	http://www.wikidata.org/entity/statement/q56226-B6E80FE8-F263-4113-B81A-1AD11619809F	http://www.wikidata.org/prop/qualifier/P580	1	0	0	0	0	0	0	0	0	0	124	13	2	13	2	2	2	1	0	0	0	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P166	2016-01-01T00:00:00Z	http://www.wikidata.org/entity/statement/Q56226-c195c5b1-4526-ecaf-2b94-96148afeac87	http://www.wikidata.org/prop/qualifier/P585	1	0	0	0	0	0	0	0	0	0	124	12	1	12	1	1	1	1	0	0	0	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P569	1982-01-08T00:00:00Z	http://www.wikidata.org/entity/statement/Q56226-c1e274d2-4c78-c2a6-1d69-4549ba8a7320	http://www.wikidata.org/prop/statement/P569	1	0	0	0	0	0	0	0	0	0	124	2	2	2	2	1	1	1	0	0	0	0	0	1	1
